segment_id,segment_coords,segment_name
1,"[[120.659744, 24.109005], [120.659581, 24.109]]",Head west on 福田二街
2,"[[120.659581, 24.109], [120.65951, 24.110815]]",Head west on 福田二街
3,"[[120.65951, 24.110815], [120.659529, 24.110879]]",Head west on 福田二街
4,"[[120.659529, 24.110879], [120.659629, 24.110923]]",Head west on 福田二街
5,"[[120.659629, 24.110923], [120.659883, 24.110905]]",Head west on 福田二街
6,"[[120.659883, 24.110905], [120.658722, 24.111986]]",Head west on 福田二街
7,"[[120.658722, 24.111986], [120.657922, 24.112706]]",Head west on 福田二街
8,"[[120.657922, 24.112706], [120.657342, 24.113254]]",Head west on 福田二街
9,"[[120.657342, 24.113254], [120.656691, 24.113851]]",Head west on 福田二街
10,"[[120.656691, 24.113851], [120.655952, 24.11464]]",Head west on 福田二街
11,"[[120.655952, 24.11464], [120.655751, 24.114833]]",Turn right onto 文心南路901巷
12,"[[120.655751, 24.114833], [120.655422, 24.1152]]",Turn right onto 文心南路901巷
13,"[[120.655422, 24.1152], [120.655363, 24.115264]]",Turn right onto 文心南路901巷
14,"[[120.655363, 24.115264], [120.655032, 24.11561]]",Turn right onto 文心南路901巷
15,"[[120.655032, 24.11561], [120.654859, 24.115789]]",Turn right onto 文心南路901巷
16,"[[120.654859, 24.115789], [120.654162, 24.116521]]",Turn right onto 文心南路901巷
17,"[[120.654162, 24.116521], [120.654124, 24.116558]]",Turn right onto 文心南路901巷
18,"[[120.654124, 24.116558], [120.653853, 24.116848]]",Turn right onto 文心南路901巷
19,"[[120.653853, 24.116848], [120.65299, 24.117755]]",Turn right onto 文心南路901巷
20,"[[120.65299, 24.117755], [120.652829, 24.117942]]",Turn right onto 文心南路901巷
21,"[[120.652829, 24.117942], [120.652773, 24.118003]]",Turn sharp left onto 文心南路
22,"[[120.652773, 24.118003], [120.651638, 24.119183]]",Turn sharp left onto 文心南路
23,"[[120.651638, 24.119183], [120.650583, 24.120297]]",Turn sharp left onto 文心南路
24,"[[120.650583, 24.120297], [120.650175, 24.120592]]",Turn sharp left onto 文心南路
25,"[[120.650175, 24.120592], [120.650086, 24.120652]]",Turn sharp left onto 文心南路
26,"[[120.650086, 24.120652], [120.649969, 24.12058]]",Turn sharp left onto 文心南路
27,"[[120.649969, 24.12058], [120.649085, 24.120038]]",Turn sharp left onto 文心南路
28,"[[120.649085, 24.120038], [120.648578, 24.119733]]",Turn sharp left onto 文心南路
29,"[[120.648578, 24.119733], [120.647747, 24.119229]]",Turn sharp left onto 文心南路
30,"[[120.647747, 24.119229], [120.647444, 24.119043]]",Turn sharp left onto 文心南路
31,"[[120.647444, 24.119043], [120.647194, 24.118888]]",Turn left onto 建國北路一段
32,"[[120.647194, 24.118888], [120.641905, 24.115632]]",Turn left onto 建國北路一段
33,"[[120.641905, 24.115632], [120.640659, 24.116834]]",Turn left onto 建國北路一段
34,"[[120.640659, 24.116834], [120.64027, 24.117216]]",Turn left onto 建國北路一段
35,"[[120.64027, 24.117216], [120.639395, 24.118123]]",Turn left onto 建國北路一段
36,"[[120.639395, 24.118123], [120.639023, 24.118479]]",Turn left onto 建國北路一段
37,"[[120.639023, 24.118479], [120.638656, 24.118851]]",Turn left onto 建國北路一段
38,"[[120.638656, 24.118851], [120.637869, 24.119591]]",Turn left onto 建國北路一段
39,"[[120.637869, 24.119591], [120.637664, 24.119801]]",Turn left onto 建國北路一段
40,"[[120.637664, 24.119801], [120.637581, 24.119881]]",Turn right onto 環中路五段
41,"[[120.637581, 24.119881], [120.637501, 24.119814]]",Turn right onto 環中路五段
42,"[[120.637501, 24.119814], [120.636291, 24.120998]]",Turn right onto 環中路五段
43,"[[120.636291, 24.120998], [120.634758, 24.122484]]",Turn right onto 環中路五段
44,"[[120.634758, 24.122484], [120.633366, 24.123849]]",Turn right onto 環中路五段
45,"[[120.633366, 24.123849], [120.633326, 24.12388]]",Turn right onto 環中路五段
46,"[[120.633326, 24.12388], [120.633144, 24.12407]]",Turn right onto 環中路五段
47,"[[120.633144, 24.12407], [120.633118, 24.124093]]",Turn right onto 環中路五段
48,"[[120.633118, 24.124093], [120.631689, 24.125524]]",Turn right onto 環中路五段
49,"[[120.631689, 24.125524], [120.628546, 24.12864]]",Turn right onto 環中路五段
50,"[[120.628546, 24.12864], [120.628464, 24.128719]]",Turn left onto 三民西路二段
51,"[[120.628464, 24.128719], [120.627435, 24.129739]]",Turn left onto 三民西路二段
52,"[[120.627435, 24.129739], [120.626397, 24.130811]]",Turn left onto 三民西路二段
53,"[[120.626397, 24.130811], [120.625355, 24.132028]]",Turn left onto 三民西路二段
54,"[[120.625355, 24.132028], [120.625037, 24.13248]]",Turn left onto 三民西路二段
55,"[[120.625037, 24.13248], [120.62469, 24.132972]]",Turn left onto 三民西路二段
56,"[[120.62469, 24.132972], [120.624154, 24.133852]]",Turn left onto 三民西路二段
57,"[[120.624154, 24.133852], [120.623853, 24.134431]]",Turn left onto 三民西路二段
58,"[[120.623853, 24.134431], [120.623639, 24.134924]]",Turn left onto 三民西路二段
59,"[[120.623639, 24.134924], [120.623433, 24.135614]]",Turn left onto 三民西路二段
60,"[[120.623433, 24.135614], [120.623274, 24.136105]]",Turn right onto 環中路五段
61,"[[120.623274, 24.136105], [120.623145, 24.13662]]",Turn right onto 環中路五段
62,"[[120.623145, 24.13662], [120.623059, 24.137135]]",Turn right onto 環中路五段
63,"[[120.623059, 24.137135], [120.622995, 24.137649]]",Turn right onto 環中路五段
64,"[[120.622995, 24.137649], [120.622952, 24.138186]]",Turn right onto 環中路五段
65,"[[120.622952, 24.138186], [120.622931, 24.13883]]",Turn right onto 環中路五段
66,"[[120.622931, 24.13883], [120.622981, 24.140508]]",Turn right onto 環中路五段
67,"[[120.622981, 24.140508], [120.623019, 24.140592]]",Turn right onto 環中路五段
68,"[[120.623019, 24.140592], [120.623265, 24.14509]]",Turn right onto 環中路五段
69,"[[120.623265, 24.14509], [120.62327, 24.145171]]",Turn left onto 向上路三段
70,"[[120.62327, 24.145171], [120.623125, 24.14518]]",Turn left onto 向上路三段
71,"[[120.623125, 24.14518], [120.622922, 24.145187]]",Turn left onto 向上路三段
72,"[[120.622922, 24.145187], [120.622331, 24.145216]]",Turn left onto 向上路三段
73,"[[120.622331, 24.145216], [120.621685, 24.145245]]",Turn left onto 向上路三段
74,"[[120.621685, 24.145245], [120.619659, 24.14537]]",Turn left onto 向上路三段
75,"[[120.619659, 24.14537], [120.617624, 24.14545]]",Turn left onto 向上路三段
76,"[[120.617624, 24.14545], [120.61724, 24.145539]]",Turn left onto 向上路三段
77,"[[120.61724, 24.145539], [120.616998, 24.145636]]",Turn left onto 向上路三段
78,"[[120.616998, 24.145636], [120.616773, 24.14576]]",Turn left onto 向上路三段
79,"[[120.616773, 24.14576], [120.616567, 24.145909]]","Turn right onto 五權西路三段, 136"
80,"[[120.616567, 24.145909], [120.616384, 24.146081]]","Turn right onto 五權西路三段, 136"
81,"[[120.616384, 24.146081], [120.615948, 24.146652]]","Turn right onto 五權西路三段, 136"
82,"[[120.615948, 24.146652], [120.615732, 24.147083]]","Turn right onto 五權西路三段, 136"
83,"[[120.615732, 24.147083], [120.615475, 24.147589]]","Turn right onto 五權西路三段, 136"
84,"[[120.615475, 24.147589], [120.615271, 24.147813]]","Turn right onto 五權西路三段, 136"
85,"[[120.615271, 24.147813], [120.615094, 24.147924]]","Turn right onto 五權西路三段, 136"
86,"[[120.615094, 24.147924], [120.6136, 24.149181]]","Turn right onto 五權西路三段, 136"
87,"[[120.6136, 24.149181], [120.613157, 24.14962]]","Turn right onto 五權西路三段, 136"
88,"[[120.613157, 24.14962], [120.612308, 24.150564]]","Turn right onto 五權西路三段, 136"
89,"[[120.612308, 24.150564], [120.612048, 24.150805]]","Turn left onto 向上路五段, 136"
90,"[[120.612048, 24.150805], [120.611702, 24.151015]]","Turn left onto 向上路五段, 136"
91,"[[120.611702, 24.151015], [120.611356, 24.151171]]","Turn left onto 向上路五段, 136"
92,"[[120.611356, 24.151171], [120.611099, 24.151252]]","Turn left onto 向上路五段, 136"
93,"[[120.611099, 24.151252], [120.610774, 24.151322]]","Turn left onto 向上路五段, 136"
94,"[[120.610774, 24.151322], [120.610509, 24.15135]]","Turn left onto 向上路五段, 136"
95,"[[120.610509, 24.15135], [120.6101, 24.151361]]","Turn left onto 向上路五段, 136"
96,"[[120.6101, 24.151361], [120.609401, 24.151303]]","Turn left onto 向上路五段, 136"
97,"[[120.609401, 24.151303], [120.608926, 24.15124]]","Turn left onto 向上路五段, 136"
98,"[[120.608926, 24.15124], [120.608277, 24.151178]]","Turn left onto 向上路五段, 136"
99,"[[120.608277, 24.151178], [120.607944, 24.151155]]",Turn right onto 工業區三十九路
100,"[[120.607944, 24.151155], [120.607371, 24.151164]]",Turn right onto 工業區三十九路
101,"[[120.607371, 24.151164], [120.60694, 24.151196]]",Turn right onto 工業區三十九路
102,"[[120.60694, 24.151196], [120.606574, 24.151254]]",Turn right onto 工業區三十九路
103,"[[120.606574, 24.151254], [120.605933, 24.151406]]",Turn right onto 工業區三十九路
104,"[[120.605933, 24.151406], [120.605408, 24.151596]]",Turn right onto 工業區三十九路
105,"[[120.605408, 24.151596], [120.605051, 24.151748]]",Turn right onto 工業區三十九路
106,"[[120.605051, 24.151748], [120.604052, 24.152225]]",Turn right onto 工業區三十九路
107,"[[120.604052, 24.152225], [120.601215, 24.153721]]",Turn right onto 工業區三十九路
108,"[[120.601215, 24.153721], [120.597874, 24.155418]]",Turn right onto 工業區三十九路
109,"[[120.597874, 24.155418], [120.597777, 24.155475]]",Turn right onto 工業區三十九路
110,"[[120.597777, 24.155475], [120.591602, 24.158635]]",Turn right onto 工業區三十九路
111,"[[120.591602, 24.158635], [120.589607, 24.159708]]",Turn right onto 工業區三十九路
112,"[[120.589607, 24.159708], [120.588212, 24.160502]]",Turn right onto 工業區三十九路
113,"[[120.588212, 24.160502], [120.587697, 24.160845]]",Turn right onto 工業區三十九路
114,"[[120.587697, 24.160845], [120.587354, 24.161127]]",Turn right onto 工業區三十九路
115,"[[120.587354, 24.161127], [120.587113, 24.161361]]",Turn right onto 工業區三十九路
116,"[[120.587113, 24.161361], [120.586775, 24.161905]]",Turn right onto 工業區三十九路
117,"[[120.586775, 24.161905], [120.586578, 24.16244]]",Turn right onto 工業區三十九路
118,"[[120.586578, 24.16244], [120.586131, 24.164085]]",Turn left onto 工業區三十八路
119,"[[120.586131, 24.164085], [120.585935, 24.164664]]",Turn left onto 工業區三十八路
120,"[[120.585935, 24.164664], [120.585759, 24.165258]]",Turn left onto 工業區三十八路
121,"[[120.585759, 24.165258], [120.585374, 24.166662]]",Turn left onto 工業區三十八路
122,"[[120.585374, 24.166662], [120.585451, 24.166685]]",Turn left onto 工業區三十八路
123,"[[120.585451, 24.166685], [120.585429, 24.166768]]",Turn left onto 工業區三十八路
124,"[[120.585429, 24.166768], [120.585305, 24.167047]]",Turn left onto 工業區三十八路
125,"[[120.585305, 24.167047], [120.58511, 24.167332]]",Turn left onto 工業區三十八路
126,"[[120.58511, 24.167332], [120.584893, 24.16756]]",Turn left onto 工業區三十八路
127,"[[120.584893, 24.16756], [120.584757, 24.167669]]",Turn left onto 工業區三十八路
128,"[[120.584757, 24.167669], [120.58445, 24.167874]]","Arrive at 工業區三十八路, on the left"
129,"[[120.58445, 24.167874], [120.584295, 24.16796]]","Arrive at 工業區三十八路, on the left"
130,"[[120.584295, 24.16796], [120.58498, 24.168618]]","Arrive at 工業區三十八路, on the left"
131,"[[120.58498, 24.168618], [120.585668, 24.169351]]","Arrive at 工業區三十八路, on the left"
132,"[[120.585668, 24.169351], [120.586496, 24.17021]]","Arrive at 工業區三十八路, on the left"
133,"[[120.586496, 24.17021], [120.586847, 24.171104]]","Arrive at 工業區三十八路, on the left"
134,"[[120.586847, 24.171104], [120.587285, 24.170979]]","Arrive at 工業區三十八路, on the left"
135,"[[120.587285, 24.170979], [120.587806, 24.170796]]","Arrive at 工業區三十八路, on the left"
136,"[[120.587806, 24.170796], [120.587904, 24.171069]]","Arrive at 工業區三十八路, on the left"
